,document,label
84,"1점 주려다가 주연배우 연기력이 좋아서 2점 준다밑에 아이덴티티랑 견줄 수 있다고 댓글 있는데, 아이덴티티 보고서는 온 몸에 소름 돋았었는데, 이 영화는 보면서 졸렸다. 반전까지 다 보고도 아무런 감흥 없었다",0
85,천사의살인,1
86,러시아식 해피바이러스영화,1
87,힘들었다... 끝까지보느라 ㅡㅡ 끝까지보신분들 대단히 수고하셨습니다,0
88,제리코가 뭐가 긴박하고 스릴있다는 건지...이야기 짜 맞추기에 급급한게 정말 짜증나,1
89,ost가 좋았던 기억외엔..,0
90,박진감 넘치고 숨막히는 전개~,1
91,너무~재미있기도 하고 슬프기도 하네요.,1
92,이상하고 허접한 재미없는 영화 잘 봤습니다.,0
93,"설원, K.D랭, barefoot .정말 끝짱... 영화제목 맘에들어 봤다가 반해버려 소장中",1
94,잼잇게봣던독특한영화,1
95,김윤아 캐스팅 어이없어,0
96,장혁... 투철한 구급대원정신 강한캐릭터..수애... 가족애 로인한 신분망각 캐릭터.. 잘보면 이캐릭터때문에 유일한 항체인간과 동료의사들 죽음.하지만 시간이지난뒤 유일한 항체가 자기자식이라며모든일을 합리화 시킴... 암걸리는줄..,0
97,헐 난 재밋던데 평점이 왜이래,1
98,제 취향도 아닌듯ㅡㅡ,0
99,기대이하 원작을 보고 어떨까 기대를했지만이걸 이렇게 만드냐 원작의틀을 너무깨부신듯 스즈랑이 없어지다니가장 중요한장면 인물이 빠짐 원작을 망치는 영화,0
100,정말 재미있습니다.,1
101,괜찮은 영화입니다. 이런 좋은 영화 만드시는 분들이 계속 영화 만드실수 있도록 많은 사람들이 극장가서 봤으면 좋겠어요.,1
102,새로울 것 없는 인공 지능의 각성,0
103,옛날 애니가 참 많구나 하하하,1
104,지루함의 끝이 종국엔 긴 여운으로 다가오는 매력있는 영화...,1
105,안돼 이건 만점이야ㅠ ㅠ 주연을 보라고!!!,1
106,소설만큼 잔혹하고 충격적인 영화. 판타스틱하다.,1
107,차라리 이거 볼 돈을 기부하던가 다른 영화를 보자!,0
108,캔디따발총의 위력 ㅋㅋㅋ,1
109,딸들 시집보내기 프로젝트...,1
110,언 발란스. 제목부터.,0
111,이게 나혼자자취냐 나혼자 산다냐~~~본래 취지를 생각해라십대 데려와서 이게 뭐하는거?,0
112,"2007 년 스크린에서 보고 오늘 다시 보았는데 감회가 새롭다. 그때는 그저그런영화라 생각했는데 , 이제 보니 수작중 수작이다. 원작을 제대로 살릴 수 있는 소재는 아니였지만 적당히 스크린에서 버무린 영화 특히 김강우 이하나 임원희 캐스팅은 최고 !1",1
113,말이 되니? 사거리예식장은 뭐고 채원이 시댁에 들어가 산다니 아무리 드라마지만 정도껏해라이~~ 보고있는 내가 한심타!,0
114,완전 유치찬란하기 짝이 없지만 웃기긴 하네유. 해피엔딩이긴 하네유. 오지명 감독이네유. ㅎㅎ,1
115,드럽게 재미없어 ㅋㅋ,0
116,영화라고보기에는,0
117,청춘의 한 페이지를 장식하는 로멘스 영화의 교과서! 맥 라이언의 귀여움이 백미!,1
118,하리수라... -_-;;,0
119,역시 반 담 영화는 비디오로 봐야된다.,1
120,2편에 비한다면 엄청난 수작 ㅋㅋ 이건 웃기고 여자라도 나오지...,1
121,너무 사랑스런 커플~~솔직하면서두 유쾌하구 잼있다^^,1
122,스릴도 없고 긴장감도 없고 드라마틱 하지도 않고 그기에 감동도 없으니…,0
123,액기스만 봤는데 좋아요,1
124,와~ 진짜 나 초등학교때 봤는데 건물 부시는것만 기억난다 ㅎㅎ,0
125,"플래닛9점호러,액션,유머완전B급영상쩔어.프루프쓸데없고잼없는지지배들수다5점",1
126,40대도 반할 만화영화 참고로 우리 아빠도 재밋게 봤음 호호,1
127,신현준 포스 장난 아니었는데..완전 1996년대 중반 당시에 광장했던 영화..한석규도,1
128,생각보다 기묘한 이야기네요,1
129,정말..반전어쩌구 하길래 잠잘시간 쪼개서 봤더만 .같은 영화.반전같은소리하고 있네.이영화를 이해한다니푸하하웃길따름이다 진짜 웃긴다.미치여자의 내면심리1시간14분 2분의 본인살인 끝 진짜 최악이다.,0
130,82년 영화인데 요즘 영화같지않게 잘만들었다,1
131,이거야말로 명예훼손에 역사를 왜곡하는 진정한 쓰레기 일본이랑 다를바없다0점도 아까움,0
132,나름 시대 비판적으로 민감한 소재잡아서 이야기한거 같은데...빈익빈부익부에 대한 비판적시각이라면 공산주의가야지...다 잘살순없다..약한 소수가 살인을 일으킬수밖에없는 사회에 대한 불만이라면...누구나 살인하고 범죄를 저지를수있다는 논리아닌가??,0
133,정말 최고의 영화!!,1
134,이쁜영화---,1
135,존맥클레인어디갔니?,0
136,끝장나게 재미짐!!!,1
137,청년시절 배우들의 연기가 좋아서 기대했는데... 후반부 갈수록 실망스럽네요.,0
138,마파도 할매들과 촐랑대는 이문식 사이에서 이정진이 힘들게 느껴지는 내용의 영화였네요. 이정진과 오달수의 배역이 바뀐것 같다는 느낌입니다.,0
139,아 터미네이터 찾아보다가 다시 봤는데 20여년전의 감동이 세록세록 ㅠㅠ 이거 극장에서 봤는데 진짜 허니잼,1
140,영활 별로 좋아하지 않지만 잊을수 없는 감동.. 절제되면서도 강렬한 사랑,1
141,개잼씀 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ스타뎀 욕하는거 존내웃김 액션도 평타이상,1
142,뭔가 그냥지루함....,0
143,일곤아 아직도 쌍팔년도 3류소설 보니?,0
144,삼풍백화점 붕괴 사고를 소재로 한 아주 잘된 영화인데 평점이 아주 짜네요.,1
145,형들 이거 쩌는 영화 아님?ㅋㅋㅋㅋ 이제서야 봤네...엄청 잼나게..평점은 또 왤케 낮어..ㅋㅋ,1
146,미얀마는 군부가 바꾼 국명입니다. 기존의 버마에 대한 역사와 정신을 없애려는 치졸한 수단입니다.,1
147,명작 중 명작이지... OST 는 정말 명곡이지... 마이클잭슨의 Will you be there... 지금 들어도 눈물이 주르륵..,1
148,독립영화필이 나지만 배우들 연기 좋고 스토리 괜찮고 주제있는 영화 굿~!,1
149,무슨영화지-_-,0
150,"색다르고 재미있습니다. 뭔가 요리를 그려내야되고, 셰프들이 제한시간내에 자신만의 뭔가를 만들어야한다는 생각에 잘하시는 본능적 기술들이 많이나오시는듯. 전 개그 불쾌한느낌 없고 웃으면서 봤습니다. 이건 예능이죠, 배우려는 태도는 교육프로에서...",1
151,ㅈㄴ 재미없다 휴잭맨 때문에 2점을 4점 준다,0
152,대박이고재미있습니다,1
153,강추,1
154,정말 재밌는 영화.,1
155,중간부터 봤지만...이게 적벽대전의 양조위가 나온 영화임?,0
156,재밋당 ㅎㅎㅎ연기 모두 잘함!!!!,1
157,뇌쇄적인여배우와최고섹시한 남자배우가만나서더할수없게눈을 즐겁게해주는영화?메들린과케빈이없었으면만들어질수없는영화?케빈은 아직도 가끔영화에 나오는데매들린의 최근영화는 없는것같다?,1
158,애니스톤... 참 매력있다~ ㅋㄷㅋㄷ,1
159,감독이 2명이라...여배우는 상당히 매력있다.,0
160,에라이,0
161,레즈소재와 캐스팅에 끌려봤다. 허나 엄청재미없구 감독의 시답잖은 감성주책에 시달린기분. 망작이네.,0
162,김치놈들의 네이버 영화 평줌주는 수준. 에로물은 8점이상 주면서 작품성 운운 ㅉㅉ,0
163,아~다윤이귀요미^^♥이뽀~~♥ 앞으로도쭉~~하시길~~~,1
164,내이름은 김삼순때매 ㅋㅋ 쫌 주는거얌,0
165,귀여워요 ㅋㅋ 미어캣~ 굴속 촬영을 어떻게했을지 신기,1
166,4.44를 맞추기 위하여,0
167,너무 무섭다..진짜 ㅋ,1
168,여고생 인생 망쳐놓고 이걸 로망스로 승화?,0
169,"바로 오늘을 살고, 또 죽는다... 진짜 무슨의미일까 아직 난 모르겠다. 가장 인상깊었던 장면은 주인공이 총구를 자신 입속에 집어 넣은것... 이렇게 오늘을 산 자신을 죽이는 의식을 치루는일. 왜 오늘의 자신을 내일까지 살려주지 않는걸까?",1
170,졸립지만 좋은 편이에요,1
171,알바 색들 겁나 많네. 그런데 취업하니 행복하냐? 언론조작단도 모자라 평점까지 조작 이런 XXX들.,1
172,훑어 봄,1
173,요즘 겉멋만 잔뜩 들어서 더럽게 재미없는 액션영화들은 이런걸 좀 보고 배워라.,1
174,똥부분 뺴고 다거지야... 보면안될영화네여,0
175,주제. 연기력좋네....,1
176,그저 그녀에 대해서 감상적으로 감동받고 슬퍼하고 느끼면 않되는건가?,1
177,"관음적 욕망의 표현은 준수했으나.. 단지 그뿐인 영화. 틴토브라스, 실망..",0
178,"""많이 재미있진 않아도 설마 그정도이겠어? 하고 보려고하는데 평가글에 """"다세포 소녀와 견줄만함 """" 이라고 보고 바로 마음 돌림 ㅋㅋ""",0
179,"스토리, 연기 모두 대박이다. 시즌1부터 한번도 안빠지고 꼬박꼬박 챙겨보는 드라마.",1
180,지루한영화다 애들이나 좋아하지,0
181,드라마 재미있어요 잘챙겨보고있어요 왕민재 최은설 잘되길,1
182,"와우, 알바 쩌네. 이게 평점 6점대라고??",0
183,졸라 재미없어 돈날렸다,0
184,"아카데미 후보작에다 로튼토마토 97%작품인데, 네이버에선 흔한 감성팔이 영화보다 못한점수 ㅋㅋㅋ",1
185,기미가요방송내보낸거면 1점도 아깝다,0
186,아 다시보고싶다 동방신기jyj 다 사랑해 ~!^^ >신고,1
187,츄럴 착하다..괴롭히지마라...츄럴,0
188,키아누 리브스 언제까지 내리막을 탈것인가?,0
189,오다기리 죠의 카리스마를 재확인!,1
190,오프닝 장면이.. 이 영화와 젊음에 대해서 얘기한다.,1
191,닉임.. 방화벽이랑 아무 상관 없네...,0
192,괜찮았어요. 여운이 많이 남는 엔딩이네요. 볼만합니다^^,1
193,아니 하지말라면 하지말아야지 자꾸 말안듣고 일커지게만듬 보다가 답답 젤이해안되는게 보호자죽고 쫓기는상황에 학교에서 로맨스?ㅋㅋㅋㅋ 기본세계관에대한 설명도제대로안함 책안읽은사람은 어쩌라고ㅋㅋ 기대했는데 망작,0
194,의학드라마인지? PPL드라마인지?,0
195,솔직히 한마디로 재미없다 ㅋ,0
196,날카로운 풍자성 블랙코미디. 역시 삑사리해~,1
197,왜자꾸 레드팀 최하점수가 60대일까요?? 블루팀보다 훨나은데도ㅋㅋㅋ 그리고 시청자투표반영률좀 높여주세요 창작안무에 가산점도 주시고;; 레드랑 블루는 클래스가 다른데 레드가 지다니......,0
198,"강선교사님의 헌신내려놓음도 멋지지만, 묵묵히 따르는 사모님의 모습이 아름다우세요",1
199,슬픈 맑음. 파문에 주목하라.,1
200,재밌는데 시청률4퍼,1
201,재밌다,1
202,내용도 뭣도 없는 덕후 뽕빨물. 애니기획사들이 머리 굴려서 작품성있는 애니를 만드는 대신 모에 판치라 뽕빨물로 돈이나 벌자는 마인드를 심어준 작품.,0
203,셋이같이보다둘은울었더랬지. 스토리자체보다 대사와영상과음악이 눈물샘을자극한작품,1
204,경찰은 개 호 구로 나오고 여자기자는 눈쌀 찌푸릴정도로 수사중인 사건에 여기저기 머리를 들이밀질 않나 진짜 우리나라 영화는 일단 경찰 먼저 호구로 만들고 시작하나보다,0
205,그 자체만으로 두근대는 이름- 글래스톤베리! 영화로 나오니 더 아름답다!,1
206,정말 소름끼친다!!!,1
207,캐스팅..굿! 볼만하다!!,1
208,진짜 재미없네....현실적으로 보일라고 아주 애를썼구만...이렇게 지루해서야;;; 싸이코분노조절남자와 답답한 여자.;;; 이게무슨 보통의연애야 ㅋㅋㅋ 노잼연애다진짜;;,0
209,개봉 당시 영화관에서 봤는데 보면서 기가 막혀서 웃었다.,0
210,대만의 멜로영화치고 이렇게 재미없는건 처음..,0
211,토,1
212,지루해 죽는줄... 컨저링 ㅊㅊ,0
213,공군제대한예비역임댜~훈련소에서본기록영화가더재미있었음,0
214,남자배우가 잘생겨서 여성들이 보기에도 괜찮은 에로틱 로맨스 영화임.,1
215,여주가 신세경이 아니였다면...,0
216,좋다 !!!!!! 충분해~ 시원시원해 아주 ㅋㅋㅋ,1
217,서로 생김새가 다르다 해도 하나의 가족을 구성할 수 있음을 알려주는 영화.,1
218,최고다~ 영화 '쉘로우 그레이브'와 '심플 플랜'과 비교해서 보시기를~,1
219,뭘 예기하려는건지.. 내용이 없어 시간이 아까움.,0
220,예.. 재미 있습니다.. 약간 비정상적인게 흠인듯.ㅋ,1
221,진한 여운이 남는 올해의 영화다.,1
222,폴버호밴 감독 .. 개실망,0
223,결혼의 현실에 대해 솔직하게 잘 풀어내서 재밌었음,1
224,미치겠다 진짜....,1
225,5분을 버티지 못하고 돌아서게 만드네,0
226,말이 필요없다 김윤석의 연기와 하정우의 정신병자같은 연기도,1
227,너의 목소리가 들려 대박,1
228,ㅋㅋ초반 트롯트 흘러나올때 알았어야 했는데 ㅋㅋㅋ 이건 에로도 쓰레기도 아니여.,0
229,모든아빠들 딸바보로 만드는 영화 가족끼리 보기에 딱좋은 영화입니다 추천이요,1
230,즐겁고 싶으면 보지마라.,1
231,다른이들은 어떻게 느낄지 몰라도 이 까짓게 뭐라고 전혀 공감할수 없는 내용을 영화화한건지 모르겠다. 극중 살인에 대한 정당화는 있을 수 없는 일이라고 대놓고 나와있지만 OO의 개똥철학과 궁색한 핑계거리는 후반갈수록 나로 하여금 욕만하게 만들었다.,0
232,재밌음 ㅋㅋㅋㅋ 근대마지막은 아직도 뭔소린지모르겠음,1
233,you spin me right round baby~,0
234,좋네요..ㅜㅠ,1
235,허각이스타성으로뽑혀서이래잘나가나..박재정박시환둘다 심사평안좋으니까카메라에대고얼굴표정다썩고.. 좀더 개선된편집과 먼가바꾸려고만하지말고 결국엔초심으로돌아가야한다는것을 깨우치시길..,0
236,뻔한 임창정식 영화 스토리... 그건 그렇다 치더라도 감동도 없고 재미 둘다 없다... 마지막에는 영화를 찍다 말았나.. 그냥 허무하게 끝...;;;,0
237,하아.... 0점도 아까움,0
238,영상미로 승부를보려면 음악도좀 걸맞게 잘좀선택해라 미친 뽕짝두아니고뭐야ㅡㅡ 근데 영상미도 뭔가좀 엽기같애 김옥빈 360도 회전하는장면은 진짜 전설의고향 귀신도아니고 저게뭔가 식겁했다 배우들이아깝네 감독이 또라인듯,0
239,역시 명작이네요. 팻시켄싯도 너무이쁘네,1
240,넘 매력적인영화이다 영상미가 탁월하다... 모란꽃은 요염하게 웃다가 사라진다 그이유는무얼까..!,1
241,글쎄...케이블에서 방영해서 보게됐는데 듣던바대로의 쓰레기영화는 아니였다...다만 대사등의 디테일한 부분의 부족이 아쉽긴했지만...,1
242,찬란하기에 슬픈 그 여자의 일생!,1
243,원소설을 완벽하게 방쳐놓은 졸작,0
244,효주 너 고소장낼테니 나와,0
245,우연히 채널 돌리다가 봤는데넘넘 재미있고 제가 설레이더라구요~^^,1
246,너무재미있어요!!,1
247,아무생각없이 볼수있는 킬링탐용 B급 괴수류 블랙코메디물,0
248,포스터만해도지린다..,1
249,정말 아쉬움이 많이 남는 영화.. 한국형 환타지 장르에 앞으로 이만한 투자를 한 작품이 나올런지.. 스토리 액션 그리고 연기력에 문제가 있는듯하나.. 응원의 뜻에서 평점 9!,1
250,이것은 명작이다,1
251,김기덕 감독 영화 중에 이 영화를 가장 좋아한다. 재희는 이 캐릭터에 참 어울리는 것 같다 ㅎㅎ,1
252,연예인 더빙 사절 ㅗㅗㅗ,0
253,겉만보면 거부감이나 난해할수있다 그러나 속을보면 너무멋진영화,1
254,쓰레기,0
255,하아 지루하게 봤을사람도 있다,0
256,우연히 봤는데 최소시간으로 최대효과를 낸 작품.,1
257,이런 감독만 만났으면 아놀드 형 신세도 오래 안갔을 듯..J카메론과 J맥티어난 감독들이 살렸다,0
258,너무너무너무너무너무좋다,1
259,정말 시간 내서 죽이고 싶다,0
260,스키에대한열정으로만들어진'겨울냄새' 가슴찡한 데몬스트레이터들의이야기..강추!!!!,1
261,옛날 생각나네요 ㅋ 이때당시는 소름돋고 무서웟움 ㅎ,1
262,교훈?가르침? 웃기고 있네. 직쏘는 자기가 '신' 인줄 아나봐.,0
263,"유가와는 논리에 근거하여 어떻게 살인을 했는지 풀어냈지만, 사랑은 논리로 풀어낼 수 없기에 왜 살인을 했는지는 풀어내지 못했다.",1
264,ㅠㅠ,1
265,아저씨라는 영화 기대가 큽니다.,1
266,독일서 민주단체 조직했다는 자가 김일성 주석 존경한다는 그의 한마디로 모든 건 끝,0
267,기차에서 모하삼?,0
268,어처구니가 없다...에효,0
269,산만하고 시끄러우면서 지루하기까지도무지 집중할수없었던 영화뜬금없는 노래 또한 웃어야할지 울어야할지내 개인적인 취향일지 모르나 최근에 본 영화 중 가장 최악,0
270,K-1 선수인 레이세포랑 게리굿리지 카메오출연합니다. 찾아보셈,0
271,어린시절 감성을 자극하는 동화같은 이야기,1
272,유쾌한 영화! 해리슨포드의 어리숙한 연기가 귀여웠음,0
273,개 슈렉영화. 말도 안되는 스토리다. 치매에 걸린 것도 아니고 이성적인 사고는 하면서 남편 얼굴만 못알아본다는 게 말이 되냐.. 글자 까먹는 게 아니라. 집 못찾아가는 설정 정도는 해줘야지,0
274,1점준럼 한국영화는 죄다 10점주는 M창,0
275,왜르케 평점이 낮냐... 난 재밌게 봤구만.... 게이도 나오고...,1
276,이게잼있냐?!!,0
277,왜이리 평점이 낮지? 편견을 깨고 보면 정말 수작임.,1
278,꼭 봐요,1
279,존나 재미없고 무섭지도않고ㅋㅋㅋ 나 진심 겁 존나많은데 이거보면서 처음부터 끝까지 무표정으로봄,0
280,칭찬해 주고 싶을 정도로 성실하고 게다가 감각적이기까지 한.,1
281,내가 나이가 든거지 뭐,0
282,"보고나서 짜증나던데, 괜히 봤다는 생각 뿐... 배우를 농락하는게 아니고 관객을 농락하는 느낌이 이빠이 들었다는,,, 별 0개는 왜 안되나요...",0
283,깜찍하네?,0
284,촌스럽고 재미없는데....,0
285,보는내내 짜증나는 영화,0
286,재미 있을 거 같아서 봤는데 나름 좋았다.,1
287,가슴속 감상 지워지지않는 애니메이션,1
288,보다보다 이렇게 답답하고 어처구니 없는 영화는 또 처음이네. 감독이 아프리카 별창한테 별풍 엄청 뜯겨서 열받아서 만든 영화인 듯. 주제에 맞게 무진장 선정적인데 무진장 노출이 없는 말그대로 껍질만 요란하지 알맹이는 하나도 없는 곰보빵 같은 영화임.,0
289,마지막 그래픽 빼고 다 제미 있음,1
290,뭔 옛날영화라고 무턱대고 평점 높게 주냐...,0
291,영화 끝날때쯤 누구나 예상가능한 뻔하고 정말 아무것도 아닌 결말을 마치 대단한 반전이라도 되는것마냥 내놓네.. 킬링타임용도 안되는 최악의 B급영화,0
292,용두사미,0
293,도대체 뭐냐..이건 ㅋㅋ,0
294,2010년 서울 도시빈민의 실상을 다룬 명작,1
295,"미라클!!! 대한민국에 미라클이 일어나서,,, 모든 분들이 5%, 10% 조금씩 소통의 시간을 넓혀갈수 있기를 바랍니다.",1
296,갑자기 생각나서 다시봤는데 최고!!!,1
297,영화는 정말 짧지만 지루하기만 했던 시간,0
298,소녀들이 펼치는 동화와 같은 이야기. 실사로 제작된 동화라고나 할까?,1
299,옛날 일본애니메이션계를 부러워 했던 정부가 지원한 개망한 애니...만화와 애니메이션이 스토리가 똑같으니 완존 김세는 영화였슴 그리고 이현세 그림체가 애니메이션에 어울린다고 생각하는 것 자체가 바보짓임 다 나가 뒤지삼!!,0
300,"솔직히 재미없었다. 판타지도 역사도 아닌 그들만의 이야기,.",0
301,"직접 당해봐야,정신 차리지...이런일 전혀 재밌는일 아니란다.얘들아...응?",0
302,그러하다 남자들만의 우정이라는것은.,1
303,솔직히 시즌1때 딱 끝냈어야 했다. 왜 좋을때 안끝내고 질질 끌고가서 우려먹고 결국엔 이렇게 인기가 없어지고. 과장안하고 지금 방송에서 시즌1 방송을 틀으면 시청률이 훨씬 잘 나올거라고 장담한다.,0
304,급전개라도전개내용다이해가고주인공의말하나하나가순수하면서예쁜영화.그림체도깔끔하고비록열린결말같지만여운남는영화네요,1
305,만두. 어르신들 연기인생에 해나 되지 않길...감독은 각성하라.,0
306,노래하나하나가모두명곡이에요 짱,1
307,처음부터 끝까지 집중해서 봤다. 기대하지 않아서인지 의외로 흥미진진한 스릴러였다. 엄정화 연기 잘하고 다른 배우들도 연기 좋았음.,1
