,company,position,score,good,bad,is_recommend,label
14,SK텔레콤(주),유통/무역,80,"복지가 최고 수준으로 휴가사용이나 근무시간, 근무지선정 등에서 자율적이고  2주 80시간 내에서 자율적으로 근무가능함또한 언제든 원하는 부서로 이동신청가능함","CO단위로 분위기 차이가 많이 나지만, 과거 SKT가 시장독점하던 시절부터 일을 해왔던 고연차 매니저들의 비중이 적지 않고, 그로 인해 업무방식 개선이 어려움",이 기업을 추천 합니다!,1
15,SK텔레콤(주),디자인,60,돈을 많이 주는 편이며분위기가 대체적으로 자유로운 편이고복지가 상당히 좋습니다,기업의 성장 가능성이 크지 않고개인의 발전이 더디다 못해후퇴하는 느낌,이 기업을 추천하지 않습니다.,0
16,SK텔레콤(주),경영/기획/컨설팅,100,"단군 이래의 최고의 비즈니스라고 칭하는 안정적인 BM구조, 유연하고 자율적인 근무환경 (부잣집 도련님의 여유로움), 구성원의 보이스가 존중받는 사내환경, 높은 보상수준, 어린이집 등 기타 복지","대표이사 라인으로 구성된 현 경영진이 회사를 장악, 내부에서 경험과 실력을 쌓아온 인재들이 리더로 발탁되지 못하고 있음",이 기업을 추천 합니다!,1
17,SK텔레콤(주),경영/기획/컨설팅,100,"복지, 급여 등 보상이 좋아요. 노조도 잘되있는 편이고. 지방 근무의 경우도 나쁘지 않습니다.",고인물이 많죠. 고인물과 외부에서 온 전문인력과의 융화가... 글쎄요... 쉽지않네요,이 기업을 추천 합니다!,1
18,SK텔레콤(주),IT/인터넷,100,"눈치 보지 않고 휴가 및 연차를 자유롭게 사용할 수 있다. 또한, 좋은 사람들이 많다.","사내 복지가 적은 것 같습니다. (예: 수면실 시설 부족, 카페 규모 작음) 그 외 단점은 없습니다.",이 기업을 추천 합니다!,1
19,SK텔레콤(주),IT/인터넷,100,"자유도 높음, 연봉, 워라벨이 상대적으로 괜찮음. 아직은 괜찮은 캐시카우가 있음.",매너리즘에 빠져 길을 잃고 방황하게 되기 쉬움. 광팔이들에게 당하기 쉬움,이 기업을 추천 합니다!,1
20,SK텔레콤(주),디자인,80,"셋째주 금요일의 해피 프라이데이, 자유로운 근무 환경으로 재택근무를 계속한다는 장점, 팀비 활용, 포인트를 사용하느라 힘든 현금성복지","직장인의 무덤 앞으로 나아가지 못하고 맴돌게됩니다. 근무시간을 넘기는 연장근무가 잦은편, 1위라는 안도감에 크리에이티브 매우 부족함",이 기업을 추천 합니다!,1
21,SK텔레콤(주),IT/인터넷,80,모두가 다 아는 기업. 기업의 이미지가 좋음. 부모님이 좋아함. 워라밸이 좋음,"1년단위의 업무가 많아서, 새해가 되면 작년 일이 리셋되는 경우가 다반사. 진짜 일을 하기보다는 보여지는 일이 선호되는 편. 꿈과 야망이 큰 젊은이라면 열심히 하는 공무원 같은 분위기에서 금방 좌절할 수 있음. 때문에 좋은 직장임에도 능력있는 젊은이의 퇴직이 종종있음",이 기업을 추천 합니다!,1
22,SK텔레콤(주),IT/인터넷,40,워라밸이 좋음. 진짜 좋음. 돈 / 복지가 타 기업을 따라 잡을 수 없음. 이거는 정말 팩트 중에 팩트로서 .. 이 회사 다니는 사람들 중에서는 다른 회사 이직이 어려울 수준.,커리어 빌딩이 어려움. 업무 변경도 심함. 다만 커리어 빌딩에 별 욕심없는 사람이라면 이 회사 정말 추천,이 기업을 추천하지 않습니다.,0
23,SK텔레콤(주),IT/인터넷,80,"자유로운 업무 환경, 복지
근무시간 대비 이보다 많이 받을 순 없다.",경력의 무덤이라 불림. 실제 업무 이행을 하지 않기에 실력의 성장이 멈출 것임,이 기업을 추천 합니다!,1
24,SK텔레콤(주),디자인,80,가장 좋은 점은 복지 및 DYWT 만족스러우며 체계적으로 잘 갖춰져 있다고 생각함,자유롭지만서도 자유롭게 의견을 공유하면 새되는 분위기.. 윗분들은 이미 답정너이고 원하는 답을 돌려돌려 직원들 고생시키는 스타일,이 기업을 추천하지 않습니다.,0
25,SK텔레콤(주),마케팅/시장조사,80,HR이 여러모로 나눠져서 구성원에 대한 지원이 많고 주변 기업 대비 연봉이 좋습니다,보고서 작업이 너무 많으며 필요없는 보고도 많고 라인타는 것이 너무 쎕니다,이 기업을 추천 합니다!,1
26,SK텔레콤(주),IT/인터넷,80,수평적인 조직 문화이며 근무시간을 눈치보지 않고 자율적으로 다닐 수 있음,"고과에 따른 연봉 상승율은 매우 낮은 편이며, 부서에 따라 다르지만 개발 서비스의 연속성이 적음",이 기업을 추천 합니다!,1
27,SK텔레콤(주),IT/인터넷,100,근무시간을 유연하게 등록하여 일을할수있다. 회사자체의 메리트가 크다,굳이따지자면 동료분들의 나이가 좀 많다. 1-2년안에 사람들이 자주바뀌는 순환근무가 있는듯하다,이 기업을 추천 합니다!,1
28,SK텔레콤(주),서비스/고객지원,60,일 잘하면 보너스나 얻는게 정말 많음. 복지가 정말 괜찮음. 중간중간 챙겨주는것도 많음.,눈치 많이 줌 화장실조차 눈치보여서 못감 꼰대문화 심함,이 기업을 추천 합니다!,1
29,SK텔레콤(주),IT/인터넷,80,복지가 좋음. 위치가 좋음. 특정 부서에 한 해서 개발을 잘 해볼 수 있음. 같이 일하는 사람이 좋음.,임원이 너무 왕 노릇을 하며 그 방향성이 심히 틀림. 따라서 전체적인 회사 분위기가 발전하고 있지 못 함. 개발자를 제대로 대우하는 분위기가 아님.,이 기업을 추천하지 않습니다.,0
30,SK텔레콤(주),서비스/고객지원,80,연차 눈치 없이 사용 가능하고 야근수당 잘나오고 복지 괜찮음,"정규직에게만 좋은 회사 정규직되기는 또 하늘의 별따기..; 여기 들어가려면 다시 대학교가하나,,",이 기업을 추천 합니다!,1
31,SK텔레콤(주),IT/인터넷,60,급여가 나쁘지 않게 나옴. 다만 급여 나오는 만큼 발로 뛰고 일하게됨,아직도 예전 방식. 틀린 방향을 가고있어도 윗사람이면 뭐라고 못함. 말을하면 맞다고 하면서 나중에 차별 대우,이 기업을 추천하지 않습니다.,0
32,SK텔레콤(주),경영/기획/컨설팅,60,"한국 대기업 중에서노 상위권인 처우 및 복리후생, 상대적으로 자유로운 분위기","정체된 사업과 이해가 잘 되지 않는 의사결정, 실제 사업보다 보고서가 많은 일하는 방식. 실행보다 말만 많은 문화",이 기업을 추천 합니다!,1
33,SK텔레콤(주),IT/인터넷,100,좋은 제도는 다가지고 있는 회사. 스킬업에 관심이 없다면 최고의 회사,나 자신의 성장은 거의 없다. 좋은 프로잭트를 만나기가 힘듬.,이 기업을 추천 합니다!,1
34,SK텔레콤(주),IT/인터넷,40,대기업스런 좋은 복지/급여대체로 뛰어난 동료팀바팀이긴 한데 리더가 괜찮으면 워라벨 좋음,"보여주기가 중요함 소위 광파는 문화업무 인프라가 많고, 알기 어렵고, 복잡함예산프로세스가 길어서 언제 일하나 싶음",이 기업을 추천하지 않습니다.,0
35,SK텔레콤(주),경영/기획/컨설팅,80,"높은 연봉과 네임밸류, 복지와 워라밸(재택, 유연근무제 등)
팀바팀이겠지만 전반적으로 문화도 좋음","탑다운으로 내려오는 과제가 많고 그 과제가 터무니 없을 때가 있음, 일관성 없이 매해 바뀌는 조직과 방향성으로 사업을 꾸준히 진행하기 어려움, 입으로 일하는 문화로 보고서와 회의만 많고 실제 실행하는건 없음",이 기업을 추천 합니다!,1
36,SK텔레콤(주),서비스/고객지원,80,"칼퇴 가능한게 최고 장점 , 상여금 베리 나이스 ,연차에 여름휴가 굿",건물에 주차어려움 근처에 주차할곳없음 노상주차 자리찾기도 힘듦,이 기업을 추천하지 않습니다.,0
37,SK텔레콤(주),경영/기획/컨설팅,80,연차 자유롭게 사용 출 퇴근시간 자유롭게 조정 가능 2주 80시간만 채우면 되고 점심시간도 내맘대로,정규직과 계약직 파견직의 차이가 너무 확실하고 크다 차이가 있어야하지만 좋을 땐 직원 아닐 땐 다른회사 직원,이 기업을 추천 합니다!,1
38,SK텔레콤(주),영업/제휴,60,회사가 제공하는 복지는 아주 좋음. 사우수한 사람들이 많은 회사,"직원들은 우수하나, 임원급 레벨이 우수하지 못해 방향성을 가지고 일하기가 어려움. 광팔이 문화가 심함",이 기업을 추천하지 않습니다.,0
39,SK텔레콤(주),경영/기획/컨설팅,60,복지 좋음 근무시간 워라밸 매우 좋음 팀바팀이게찌만 편한회사,일단 연봉을 성과금준다며 성과금을 뺀금액으로 계약. 성과금 그만큼 못받음 연협 후회됨,이 기업을 추천하지 않습니다.,0
40,SK텔레콤(주),인사/총무,100,"수평적이며 자유로운 분위기
재택근무가 잘잡힘 휴대폰 요금 지원이 은근좋다
해피프라이데이 제도가 은근 좋다","사내식당이 비쌈 8천원. 단점이 딱히 없는것같습니다
화장실 변기 수압이 조금 약하다는것..?",이 기업을 추천 합니다!,1
41,SK텔레콤(주),IT/인터넷,60,연봉 복지가 좋음. 이런저런 복지를 따지면 국내 최고일 거라고 생각함. 유연근무제가 잘 정착함. 포괄임금제 폐지,조직개편과 프로젝트 변경이 너무 잦음. 실질적인 킬러 컨텐츠 없이 광팔이만 난무함. 오래다니면 서류작업하고 보고만 잘하게 될 것 같아 두려움,이 기업을 추천하지 않습니다.,0
42,SK텔레콤(주),IT/인터넷,80,안짤림이상은 높음돈 많이 주는 편원한다면 극강의 워라벨 챙기기 가능,"고임입으로 일하는 부서, 이름과 역할이 매우 애매한 부서가 많음",이 기업을 추천 합니다!,1
43,SK텔레콤(주),경영/기획/컨설팅,60,복지도 매우 좋으며 연봉도 타 기업대비 높은 편임  매우 개인적인회사로 회사에 별 기대없이 다니면 만족도 매우높음 다만 열심히 일하는 사람들은 실망할수있음,"직접 개발을 하지않아 개발자나 기술자들에겐 커리어가 단절될수있음 다만, 외부업체와 모든일을 같이하기때문에 업체 컨트롤을 잘해야함",이 기업을 추천 합니다!,1
44,SK텔레콤(주),서비스/고객지원,80,상담이 힘든만큼 직원에대한 대우와 보상 복지 급여는 확실히 챙겨줌~성과급과 복지는 엄청 잘 되어있음,지금은어떤지 모르겟지만 기업이 가진 단점보다는 일이..상담이 힘듦..많이 힘듦...,이 기업을 추천 합니다!,1
45,SK텔레콤(주),IT/인터넷,100,"ROI 높은 연봉과 복지. 워라밸.
의지만 있다면 다양한 일들을 해볼 수 있음","팀에 따라 문서작업과 보고만 해야 할 수도.. 
어느 팀에서 일하고 어느 팀으로 이동하는지가 핵심 과제!",이 기업을 추천 합니다!,1
46,SK텔레콤(주),마케팅/시장조사,80,국내 기업 중 가장 사내 문화가 좋다고 자부할만한 수준. 승진과 성장을 바라지 않는다면 정말 최고의 꿀을 빨 수도 있음,특정 사업부문에 대한 보이지 않는 사내 우대 문화가 존재.,이 기업을 추천 합니다!,1
47,SK텔레콤(주),IT/인터넷,80,필수재를 파는 회사이기 때문에 절대 업의 근간이 흔들릴 일은 없음. 부서마다 차이는 있음,캐시카우가 확실하기 때문에 되도 않는 일을 하거나 일을 안 하는 사람들이 종종 발견됨,이 기업을 추천 합니다!,1
48,SK텔레콤(주),인사/총무,80,연차 눈치안보고 쓸 수 있음. 다양한 복지들이 많음. 재택근무.,쓸데없는 업무보고서를 써야 하는게 많음. 그 외 단점은 딱히 없었던 거 같음.,이 기업을 추천 합니다!,1
49,SK텔레콤(주),IT/인터넷,60,"다양한 복지 제도가 훌륭함, 노조가 잘 대응해주기 때문에 든든함, 본사가 서울 시내에 위치해 출퇴근이 용이함","오래된 조직 문화가 여전히 남아 있음, 휴대폰 판매 쪽 사업부는 특히 더 심하고 지방 근무 있음. 새로운 서비스를 계속 시도는 해보지만 장벽이 있고, 잘 안되면 엎어버림. 보고서 문화가 매우 강하여 보고하면 끝임. 실행은 나몰라라 함.",이 기업을 추천하지 않습니다.,0
50,SK텔레콤(주),마케팅/시장조사,80,"연차 사용 자유로움, 워라밸 지켜줌, 상여금 받는 설렘있음",회의문화 심함하루종일 회의해서 내 일은 뒷전이라 칼퇴를 못바람,이 기업을 추천 합니다!,1
51,SK텔레콤(주),IT/인터넷,80,"유연한 근무형태를 가지고, 변화와 혁신을 추구하는 경영진을 가지고 있고, 확실한 캐쉬 카우가 있어서 안정적인 회사","sk텔레콤에서 오래 다닌 팀장들 중에는 아직도 술잘마시는 것 기준으로 부하들 라인을 형성하는 사람들이 꽤 있는 것 같고, 다른 대기업들과 마찬가지로 외부 영입 전문가들이 리더가 될 기회를 잘 주지 않음. 필요한 일보다 관성적으로 하는 일들이 있음.",이 기업을 추천 합니다!,1
52,SK텔레콤(주),IT/인터넷,80,"높은 연봉 받으면서 좋은 환경에서 주변 부러움 받으며 일할 수 있는 회사
조직에 따라 다르지만 대부분 업무 강도가 높지 않고, 시스템과 협력사 네트워크가 잘 되어 있어 일을 편하게 할 수 있음","먹이사슬 최정점에 있는 회사로서 초년생이 실무를 익히기에는 적합하지 않은 회사
장기간 다녔을 때 퇴사 후 자신만의 강점, 전문성을 확보하기 쉽지 않음",이 기업을 추천 합니다!,1
53,SK텔레콤(주),서비스/고객지원,60,"대기업인 만큼 복리후생은 좋지만, 파견으로 입사했었기 때문에 몇가지만 누릴수 있었습니다","실제로 결제일이 다가오면 콜수가 너무 많았는데, 그 콜량을 처리하기위해 점심을 없애고 일한적도 많습니다",이 기업을 추천하지 않습니다.,0
54,SK텔레콤(주),IT/인터넷,80,아직까지는 최상의 복지 혜택. 재택 비중 높음. 욕심 안부리면 편히 일할 수 있는 돗.,거의 공기업화된 복지부동 문화. 광팔이 문화. IT서비스에 대한 무지놔 홀대. 거버넌스 및 프로세스의 부재.,이 기업을 추천 합니다!,1
55,SK텔레콤(주),경영/기획/컨설팅,80,기업문화가 타 기업대비 자유로우며 상하관계가 거의 없다,자유로움의 단점이 여실히 드러나며 적응못할 가능성 있다,이 기업을 추천 합니다!,1
56,SK텔레콤(주),IT/인터넷,80,"다양한 복지, 주도적인 업무수행, 다양한 교육기회 등 업무적, 개인적 발전 가능성이 높음","주도적인 업무수행에 따른 책임, 매니지먼트 업무 위주로 인한 따른 업무지원 요청필요, 상대적으로 더딘 기술발전",이 기업을 추천 합니다!,1
57,SK텔레콤(주),경영/기획/컨설팅,80,신입 초봉이 정말 높고 복지는 대한민국 끝판왕 수준임. 사람들도 대부분 젠틀하고 말이 잘 통함.,"경영진이 실력이 없고, 고인물 천지에, 제대로 서비스를 하기 힘든 환경임",이 기업을 추천 합니다!,1
58,SK텔레콤(주),경영/기획/컨설팅,80,"복지 매우 좋음, 어디나 어려운 점은 있겠지만 그래도 기업문화 좋은 편(대외적으로는 수평적이니까), 눈치 안보려고 하면 안보고 편하게 다닐 수 있음","조직개편 매우 잦음, 경력과 관계없는 일을 하게 될 수 있음, 일 보다 정치가 중요할 때가 많음",이 기업을 추천 합니다!,1
59,SK텔레콤(주),IT/인터넷,80,활발한 사무직 노조 활동이 있어 든든합니다. 최고 수준의 복지와 연봉이 장점입니다,"분사 이슈로 인한 불안감이 만연합니다
체계적인 개발 문화가 부족하고, 협력업체의 개발 역량에 크게 의존하고 있다고 생각됩니다",이 기업을 추천 합니다!,1
60,SK텔레콤(주),디자인,60,"워라밸은 나쁘지 않은 편, 연봉은 요즘 다른 IT회사들이 많이 올려서 TOP 레벨은 아니지만 그래도 상위권, 복지는 국내 최고 수준, 노조가 나름 잘 활동하고 있어서 이것저것 사측으로부터 얻어내는 것이 많음","디자인에 대해서는 고등학생보다도 못한 사람들 천국, 디자인은 그냥 외주한테 주말 밤새서 갖고오라고 하면 되는거 정도로 생각하는 사람들이 득실거림, 디자인 전문가라고 할만한 임원이 없음, 디자인 직무 이외에 단점은 공채 고인물 천국이라는 점",이 기업을 추천하지 않습니다.,0
61,SK텔레콤(주),인사/총무,80,"연차사용, 근무시간 등록 자유로움.'님'호칭 사용.워라밸 보장되고, 재택근무 가능함.대기업의 복지와 문화를 경험할 수 있음.조직과 팀을 잘만나 좋은 분위기에서 일할 수 있었음.",야근이나 재택근무 팀바팀. 안하는 곳도 많이 봤음.계약직으로 입사하면 정규직 전환기회는 전혀 없음.의사결정체계가 많아서 의사결정이 느림.,이 기업을 추천 합니다!,1
62,SK텔레콤(주),서비스/고객지원,80,야근이라던지 그런것도 없고 하는만큼 돌아왔던것 같다. 분위기도 좋았고 동기들도 친절했었다. 교육시스템도 잘 되어있어서 적응하는거에는 문제 없음.,딱히 찝자면 공부해야 할것이 많았지만 업무에 필요했던 부분이라 지금와서 생각하면 그렇게 해야하는게 맞다고 생각함,이 기업을 추천 합니다!,1
63,SK텔레콤(주),인사/총무,100,"팀바케 이지만 팀을 잘 만나면 평화로운 회사생활 가능,오티 발생 시 수당 지급","단순 보고를 위한 문서작업이 많음, 보고를 위한 보고서 작성이 비효율적임",이 기업을 추천 합니다!,1
64,SK텔레콤(주),IT/인터넷,80,"연차 사용 계획을 세우고 사용하기가 용이한 시스템. 연차뿐만 아니라 탄력근무제로 하루 혹은 주간 일정을 계획하기 좋음. 또한 대기업이다보니 휴게공간이나 사내도서관, 마사지 등 여러가지 복리후생이 잘 갖춰져있고 사용하기 좋게 되어있음. 특히 유일한 단점이었던 구내식당 리뉴얼로 쾌적한 환경에서 어느정도의 맛이 보장된 메뉴로 식사할 수 있었음",업무분장과 파견계약직 관리가 특정 매니저에게 달려있어 담당 매니저의 업무 스타일에 따라 근무환경이 차이가 많았습니다,이 기업을 추천 합니다!,1
65,SK텔레콤(주),금융/재무,100,좋은 사람들과 우수한 인력들..곳간에서 인심난다고 갈구는 문화가 적다. 똑똑한  사람들과 일하는 보람을 느낄 수 있다.,"통신의 미래는 한국전력이 아닐까. 10년전 최고의 직장인데 이제는 괜찮은 대기업이 되었다. 10년뒤면 그냥저냥 대기업이 될거 같은 두려움이 있다. 
다만 그만큼 편안하고 안정적이다.",이 기업을 추천 합니다!,1
66,SK텔레콤(주),IT/인터넷,80,위치 너무 좋고 사내식당도 좋고 티타워 도서관도 좋고 사람들도 젠틀함. 경영진의 조직문화에 대한 생각도 좋고 추진력도 있음. 노조도 좋음.,조직개편이 잦다. 열심히는 일하게 되는데 잘 성장하고 있는지는 잘 모르겠다(아닌 것 같아 퇴사),이 기업을 추천하지 않습니다.,0
67,SK텔레콤(주),IT/인터넷,40,"업계에서 연봉 많이 주는 편.
복지도 좋은편.
워라밸.","지나친 외주 의존. 전문성이 점점 없어진다.
임원들이 의사결정을 자주 바꿈.",이 기업을 추천하지 않습니다.,0
68,SK텔레콤(주),서비스/고객지원,100,사람이  게을러지면 금액적으로 저조해지고부지런히 하면 금액적으로 보상을 받을 수 있는 면에서 사람을 부지런하게 하는 메리트가 있다,여러가지 정책과 부가적인  것이 자주 바뀌기 때문에힘든 점이 있음,이 기업을 추천하지 않습니다.,0
69,SK텔레콤(주),마케팅/시장조사,80,"연차, 복지 포인트 등 혜택이 많음안정적인 캐쉬플로우똑똑한 동료와 사회적 이미지",경영진 리스크회사에 대한 장기적인 비전보다 일이년 자리보전이 급급TM에게 잘 보이기 위한 회사운영,이 기업을 추천 합니다!,1
70,SK텔레콤(주),디자인,80,"유연근무제, 자유로운 연차, 포인트, 헬스케어 등 대기업이다 보니 복지가 좋음.",잦은 팀이동으로 일에 어려움이 있을때가 있음. 오래된 건물이라 다소 낡은 사무실(?)정도가 단점,이 기업을 추천 합니다!,1
71,SK텔레콤(주),경영/기획/컨설팅,80,"대기업이지만 인간적인 분위기, 복지가 다양함, 본사 근무시 업무 환경이 좋음",전반적으로 고령화 되어 IT회사의 빠른 실행력을 기대하기 힘듬,이 기업을 추천 합니다!,1
72,SK텔레콤(주),인사/총무,100,연차 내맘대로 쓸수있고 근무시간 내가 원하는대로 조정할수있음. 점심 다 제공되고 수평적인 문화였음,단점을 굳이 뽑자면 돈을 좀 펑펑쓴다는 느낌.  대기업이라 그럴수 있겠지만 필요없는 물건들을 마구 사대고 필요없으면 다 버림. 내돈도 아니지만 아깝다는 생각이 들었음. 뭐 나에게 피해되는건 아니지만 굳이 단점이라면 단점임,이 기업을 추천 합니다!,1
73,SK텔레콤(주),서비스/고객지원,80,핸드폰 비용을 지원해주며 필름이나 케이스는 필요할 때에 쓸 수 있다,진상고객이 오면 안좋고 대처방법도 난감해서 힘들다 고객들 유헝이 다양하다,이 기업을 추천 합니다!,1
74,SK텔레콤(주),디자인,60,말도안되는 자율출퇴근제가 극강. 안마. 헬스장. 굿 ㅎ자유로운 휴가 사용은 당연거침없는 발언권 보장,일 떠넘기기 광팔기 등 프리라이더 아첨꾼이 판치는 곳. 포장된 이미지가 너무 좋아 놀라울 정도. 공채와 경력직 간의 갈등. 공채 인재들의 특징은 무모한 근자감과 안하무인분사리스크,이 기업을 추천 합니다!,1
75,SK텔레콤(주),교육,20,"윗 사람 눈치 안보고 연차 휴가 등이 굉장하 자유로움
복장 제한이 없음","분위기가 너무 풀어져서 이상한 동료들도 많음
월급 루팡들이 많아서 일하는 부서만 일하는 느낌",이 기업을 추천하지 않습니다.,0
76,SK텔레콤(주),연구개발,80,"높은 임금과 본사 위치, 동료들의 수준이 보장되어 있음 
이직 시 좋은 경험이 됨","특별히 없으나 사내 분위기가 친근하고 가족적인 분위기는 아님 
일하는 데 큰 단점이라고 느낀 점은 없음",이 기업을 추천 합니다!,1
77,SK텔레콤(주),경영/기획/컨설팅,80,비교적 자유로운 기업 문화라고 생각되고 복리후생이 좋다고 생각됨,큰 단점이라고 느껴지는 부분은 없다고 생각되는데 굳이 적자면 자유로운듯 자유롭지 않은 느낌,이 기업을 추천 합니다!,1
78,SK텔레콤(주),인사/총무,80,계약직으로 근무 했는데 sk통신사 이용시 통신비를 따로 지원해줍니다. 초과 수당 30분 단위로 반영됩니다사내 분위기도 좋은 편이에요,어느기업이든 비슷하겠지만 업무량이나 근무강도는 팀에따라서 케바케예요정규직 전환은 없어요 근데 처음 지원할때부터 설명해주셔서 알고 지원했습니다,이 기업을 추천 합니다!,1
79,SK텔레콤(주),경영/기획/컨설팅,100,더없이 좋습니다. 일하기도 좋고 근무하는 환경 자체가 좋아요 생각보다  많은 사람들이 회사에 만족하며 근무하고 있습니다.,"특별히 없습니다. 장기적인 관점에서 회사가 성장하는가 하는 의문은 조금 들 수 있지만, 아주 장기라서 제가 다니고 있을때까지는 크게 문제 없을것 같습니다.",이 기업을 추천 합니다!,1
80,SK텔레콤(주),서비스/고객지원,60,안정적이고 시스템이 잘 갖춰진 회사이며 연차를 내맘대로 사용할수있음,스트레스가 많은 직업군이며 업무의강도가 쎈편이지만 전반적으로 만족,이 기업을 추천하지 않습니다.,0
81,SK텔레콤(주),금융/재무,100,연차 윗사람 눈치 안보고 마음대로 쓸수있음기업문화 수평적임알앤알대로 일 잘배분함마음고생 안하고 다니기 충분유연근무제,사원간 경쟁이 조금 치열함자기계발 안하면 남들보다 뒤쳐질수있음,이 기업을 추천 합니다!,1
82,SK텔레콤(주),IT/인터넷,80,복지가 좋고 워라벨이 좋은편임. 재택 근무가 가능한 조직이 많으며 근태가 자유로움,"분사 이슈가 항상 있으며, 커리어 성장을 하기가 어려운 구조임. 통신사업 외 도메인 습득이 불가능함",이 기업을 추천 합니다!,1
